sampno,perno,wtperfin
30005313,1,912.9901
30005313,2,912.9901
30005363,1,634.67
30005363,2,634.67
30005383,1,1042.3573
30005383,2,1042.3573
30005622,1,1048.6843
30005665,1,1643.4495
30005665,2,1643.4495
30005688,1,1744.8821
30005724,1,1078.99
30005737,1,1744.8906
30005783,1,72.563
30005783,2,72.563
30005804,1,659.9999
30005804,2,659.9999
30005804,3,659.9999
30005864,1,1593.7993
30005864,2,1593.7993
30005910,1,70.4019
30005910,2,70.4019
30005922,1,70.4019
30005922,2,70.4019
30005927,1,634.7381
30005927,2,634.7381
30005927,3,634.7381
30005927,4,634.7381
30005931,1,636.4473
30005956,1,72.6496
30005956,2,72.6496
30006014,1,639.9999
30006014,2,639.9999
30006046,1,71.2103
30006046,2,71.2103
30006139,1,70.4091
30006178,1,101.1977
30006190,1,659.9998
30006190,2,659.9998
30006228,1,72.563
30006228,2,72.563
30006228,3,72.563
30006228,4,72.563
30006255,1,118.7544
30006255,2,118.7544
30006322,1,280.9366
30006322,2,280.9366
30006366,1,70.4019
30006408,1,100.4739
30006408,2,100.4739
30006468,1,118.8964
30006519,1,193.9199
30006519,2,193.9199
30006537,1,70.4359
30006537,2,70.4359
30006558,1,630.9647
30006558,2,630.9647
30006601,1,101.7942
30006601,2,101.7942
30006601,3,101.7942
30006601,4,101.7942
30006662,1,81.254
30006808,1,71.4496
30006808,2,71.4496
30006886,1,639.9963
30006886,2,639.9963
30006886,3,639.9963
30006886,4,639.9963
30006886,5,639.9963
30006991,1,70.4019
30007131,1,72.566
30007142,1,639.3272
30007142,2,639.3272
30007142,3,639.3272
30007142,4,639.3272
30007211,1,114.1913
30007281,1,118.6916
30007326,1,71.2559
30007326,2,71.2559
30007333,1,61.4189
30007392,1,193.0285
30007412,1,111.4969
30007412,2,111.4969
30007447,1,61.4164
30007447,2,61.4164
30007447,3,61.4164
30007447,4,61.4164
30007462,1,295.6314
30007462,2,295.6314
30007462,3,295.6314
30007530,1,405.7205
30007532,1,1047.8382
30007584,1,72.0828
30007584,2,72.0828
30007629,1,557.8642
30007686,1,99.5186
30007706,1,144.1299
30007706,2,144.1299
30007735,1,94.8599
30007741,1,112.537
30007741,2,112.537
30007741,3,112.537
30007741,4,112.537
30007752,1,450.0302
30007777,1,61.6036
30007777,2,61.6036
30007777,3,61.6036
30007777,4,61.6036
30007861,1,893.5946
30007861,2,893.5946
30007861,3,893.5946
30007875,1,556.2611
30007944,1,206.5796
30007944,2,206.5796
30007959,1,60.4761
30007959,2,60.4761
30007959,3,60.4761
